focal_mm,fov_w_deg,fov_h_deg,omega_sr,sky_fraction_pct,zhr,limiting_mag,rate_per_hour_in_frame,P_at_least_one_totality_pct
50,25.142533983446807,16.94944482826832,0.12832724657925476,2.0423915626460913,43,2.0,0.004033982568071842,0.007874222154147237
50,25.142533983446807,16.94944482826832,0.12832724657925476,2.0423915626460913,43,3.0,0.008874761649758055,0.017322470298875015
50,25.142533983446807,16.94944482826832,0.12832724657925476,2.0423915626460913,43,4.0,0.019524475629467717,0.038105473805982726
50,25.142533983446807,16.94944482826832,0.12832724657925476,2.0423915626460913,100,0.0,0.0019382964482374792,0.003783578328275805
50,25.142533983446807,16.94944482826832,0.12832724657925476,2.0423915626460913,100,2.0,0.009381354809469401,0.018311188848985083
50,25.142533983446807,16.94944482826832,0.12832724657925476,2.0423915626460913,100,3.0,0.020638980580832685,0.040280189566577196
50,25.142533983446807,16.94944482826832,0.12832724657925476,2.0423915626460913,100,4.0,0.0454057572778319,0.08859500070518278
100,12.724401538998091,8.521329244144583,0.032931473472595625,0.5241206786463218,10,0.0,4.974076805095084e-05,9.70963761726118e-05
100,12.724401538998091,8.521329244144583,0.032931473472595625,0.5241206786463218,10,2.0,0.00024074531736660213,0.00046994558455804025
100,12.724401538998091,8.521329244144583,0.032931473472595625,0.5241206786463218,10,3.0,0.0005296396982065246,0.0010338773708151727
100,12.724401538998091,8.521329244144583,0.032931473472595625,0.5241206786463218,10,4.0,0.0011652073360543544,0.002274516106282043
100,12.724401538998091,8.521329244144583,0.032931473472595625,0.5241206786463218,20,0.0,9.948153610190167e-05,0.00019419265805398211
100,12.724401538998091,8.521329244144583,0.032931473472595625,0.5241206786463218,20,2.0,0.00048149063473320426,0.000939888960616031
100,12.724401538998091,8.521329244144583,0.032931473472595625,0.5241206786463218,20,3.0,0.0010592793964130493,0.0020677440526029045
100,12.724401538998091,8.521329244144583,0.032931473472595625,0.5241206786463218,20,4.0,0.002330414672108709,0.004548980478336073
100,12.724401538998091,8.521329244144583,0.032931473472595625,0.5241206786463218,43,0.0,0.0002138853026190886,0.0004175137486295277
100,12.724401538998091,8.521329244144583,0.032931473472595625,0.5241206786463218,43,2.0,0.0010352048646763892,0.002020750344411404
100,12.724401538998091,8.521329244144583,0.032931473472595625,0.5241206786463218,43,3.0,0.002277450702288056,0.00444559685646162
100,12.724401538998091,8.521329244144583,0.032931473472595625,0.5241206786463218,43,4.0,0.005010391545033724,0.009780052209029666
100,12.724401538998091,8.521329244144583,0.032931473472595625,0.5241206786463218,100,0.0,0.0004974076805095085,0.0009709595192197717
100,12.724401538998091,8.521329244144583,0.032931473472595625,0.5241206786463218,100,2.0,0.002407453173666021,0.004699356464787918
100,12.724401538998091,8.521329244144583,0.032931473472595625,0.5241206786463218,100,3.0,0.005296396982065248,0.010338292715295072
