tt_jd,utc,seconds_from_max,sun_alt_geom_deg,sun_alt_refr_deg,sun_az_deg,airmass_rel,airmass_abs,sep_arcsec,r_sun_arcsec,r_moon_arcsec,magnitude,obsc_geometric,obsc_flux_550nm,transmission,dni_extra,dni_clear_noeclipse,ghi_clear_noeclipse,dhi_clear_noeclipse,dni_eclipsed,ghi_eclipsed_firstorder
2461265.2483933335,2026-08-12T17:56:32.0Z,-2007.8776225447655,10.728879223056753,10.80276814151673,280.3468091383117,5.197857353052917,4.829239460147352,1197.8222217061314,946.6572843895292,979.3139067383272,0.38458953489767234,0.27172248013670824,0.26529588241248214,0.7347041175875179,1325.3584901538231,276.8436890881641,93.15793754654514,41.26946492256777,203.39819830119276,68.44352030140755
2461265.2484049075,2026-08-12T17:56:33.0Z,-2006.8776279687881,10.725793124985607,10.799702003595776,280.3494452671704,5.199238114776373,4.830522302008346,1197.2375593221711,946.6572841244795,979.312922126322,0.38489781843415594,0.27203500932500846,0.2656383634087177,0.7343616365912823,1325.3584894116677,276.7413616806968,93.11017297777326,41.25542666880597,203.22823927633647,68.37653901125496
2461265.2484164815,2026-08-12T17:56:34.0Z,-2005.8776333928108,10.7227070528041,10.796635901442057,280.35208140062156,5.200619589565854,4.831805806366664,1196.652885621533,946.6572838594267,979.3119375139561,0.38520610794779936,0.2723476402741382,0.26598085997471305,0.7340191400252869,1325.3584886695035,276.63901928014184,93.06241444585584,41.24138648136081,203.05833502944847,68.30959342022393
2461265.2484280556,2026-08-12T17:56:35.0Z,-2004.8776388168335,10.71962100651982,10.79356983507033,280.3547175386794,5.202001777950248,4.833089973713688,1196.0682005930378,946.6572835943709,979.3109529013012,0.38551440344454496,0.2726603729191035,0.26632308732533255,0.7336769126746674,1325.3584879273305,276.5366618919557,93.01466195448528,41.22734436044554,202.88856433824841,68.2427100162446
2461265.24843963,2026-08-12T17:56:36.0Z,-2003.877604007721,10.71653486197978,10.79050368113926,280.3573537874192,5.203384736112141,4.834374856247685,1195.4834807012728,946.6572833293011,979.3099682487343,0.38582271733426216,0.2729732197831899,0.26666596300200407,0.7333340369979959,1325.3584871851197,276.4342854025213,92.96691358647769,41.21329974119609,202.71867047888713,68.17580204761552
2461265.248451204,2026-08-12T17:56:37.0Z,-2002.8776094317436,10.71344886751073,10.787437686374286,280.3599899347359,5.2047683533050355,4.835660351075998,1194.898772999039,946.6572830642385,979.3089836353791,0.38613102480666694,0.27328615562043357,0.26700920775150416,0.7329907922484958,1325.358486442928,276.3318980547987,92.9191731874879,41.199253753894546,202.5487368787175,68.10889836977195
2461265.248462778,2026-08-12T17:56:38.0Z,-2001.8776148557663,10.710362898957639,10.784371727431637,280.3626260867053,5.206152685684289,4.836946510371602,1194.314053963489,946.6572827991736,979.3079990218704,0.3864393382651288,0.27359919294382257,0.267352551877077,0.732647448122923,1325.3584857007288,276.22949573576244,92.87143884007618,41.18520583375186,202.3788351470882,68.04202266968593
2461265.248474352,2026-08-12T17:56:39.0Z,-2000.877620279789,10.70727695632902,10.781305804327028,280.365262243341,5.2075377337803515,4.838233334627327,1193.729323600198,946.6572825341049,979.3070144078895,0.38674765770653435,0.2739123316793927,0.2676959905295615,0.7323040094704385,1325.3584849585206,276.12707845095326,92.82371054795979,41.171155980990484,202.20896667299138,67.97517540819439
2461265.248485926,2026-08-12T17:56:40.0Z,-1999.8776257038116,10.704191039630471,10.778239917073273,280.36789840465883,5.208923498125548,4.839520824337748,1193.1445819018072,946.6572822690334,979.3060297937604,0.3870559831349424,0.27422557176057316,0.26803951562093975,0.7319604843790602,1325.3584842163045,276.02464620582447,92.77598831481126,41.15710419582015,202.03913373737402,67.90835734565528
2461265.2484975,2026-08-12T17:56:41.0Z,-1998.8776311278343,10.701105148868542,10.77517406568415,280.37053457067407,5.2103099792522425,4.840808979997473,1192.5598288700235,946.6572820039582,979.3050451792353,0.3873643145493193,0.27453891311563894,0.2683831117466822,0.7316168882533178,1325.358483474078,275.9221990058758,92.72827214432142,41.143050478456495,201.8693406366916,67.84156991933526
